user,assistant
It smells like an ashtray in here !,Hi honey ! What ’ s wrong ? Why do you have that look on your face ?
Hi honey ! What ’ s wrong ? Why do you have that look on your face ?,What ’ s wrong ? I thought we agreed that you were gonna quit smoking .
What ’ s wrong ? I thought we agreed that you were gonna quit smoking .,No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight !
No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight !,"Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before ."
"Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before .","I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ?"
"I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ?",Fine ! I want a divorce !
It seems that you get antsy when you hear I praise another guy .,"I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him ."
"I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him .",How come you think of him that way ?
How come you think of him that way ?,Because you seem to have lost your vigilance . You should be on the watch out .
Because you seem to have lost your vigilance . You should be on the watch out .,"s never caused any harm . 
  Isn"
"s never caused any harm . 
  Isn","s an all-right guy . 
  All-right guy ? All right . Let"
Cheese ! It tastes like cardboard .,I think so . Maybe that ’ s why it ’ s cheap here .
Have you signed up to join the company ’ s Christmas party ?,"Sure , I have . Will you join ?"
"Sure , I have . Will you join ?","I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere ."
"I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere .",You are right . Our company ’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking .
You are right . Our company ’ s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking .,I hope that it is not a formal one when the boss is there .
I hope that it is not a formal one when the boss is there .,"No , it will not be formal at all . It is a fun time . You will love the game show . Please dress casually . Usually there is an over abandon of drinks , so be careful with that ."
"No , it will not be formal at all . It is a fun time . You will love the game show . Please dress casually . Usually there is an over abandon of drinks , so be careful with that .","Don ’ t worry , I can handle that . And I know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him ."
"hi , Emily , do you know that guy over there ?","s Drive , he works with Lily ."
"t ring me last night . You said you would . 
  I",s all right . But why were you so rude to me at lunch .
"Hi , Nicole . Did you have a good weekend ?","Yes , I did . But I feel tired today ."
"Yes , I did . But I feel tired today .",Really ? Why ?
Really ? Why ?,"Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country ."
"Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country .","And I bet you studied , too ."
"And I bet you studied , too .",Yeah . I studied on Sunday evening . What about you ?
Yeah . I studied on Sunday evening . What about you ?,t clean the house and I didn
t clean the house and I didn,"That sounds like fun , but did you exercise ?"
"That sounds like fun , but did you exercise ?",Sort of . I played golf on my computer !
There will be a parade to celebrate National Day this weekend .,s the route ?
m afraid you,ve moved my books .
"Oh , well , I looked around . There wasn",m sorry if I
What ’ s the life expectancy in your country ?,"I ’ m not sure , but probably about 75 years . How about in your country ?"
"I ’ m not sure , but probably about 75 years . How about in your country ?","About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world ."
"About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world .","I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly ."
"I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly .",Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday .
Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday .,"Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment ."
"Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment .",How ’ s your son these days ?
How ’ s your son these days ?,"Oh , he ’ s fine . Kids seem to grow up very quickly nowadays ."
"Oh , he ’ s fine . Kids seem to grow up very quickly nowadays .",He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ?
He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ?,"I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career ."
"I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career .","Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet ."
"Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet .",Is there a big generation gap between parents and their children in you country ?
Is there a big generation gap between parents and their children in you country ?,"Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed ."
"Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed .",Parents usually give their children more freedom in my country . Sometimes they give them too much freedom .
Parents usually give their children more freedom in my country . Sometimes they give them too much freedom .,"It ’ s almost impossible to get the right balance . If you are too strict , kids might ignore you . If you are too lenient , they might go wild ."
m going to Japan this year on vacation .,"No , but I"
"Hey , Mark , long time no see .","s good to see you again . How have you been ? 
  Great . I just got back from a week"
"s good to see you again . How have you been ? 
  Great . I just got back from a week",Really ? How was it ?
Really ? How was it ?,t want to come back .
Not much . I,I know what you mean . I could use a vacation myself .
I know what you mean . I could use a vacation myself .,t it be great if we could go to Thailand together sometime ?
Could I see the manager please ? I have a complaint to make .,"Yes , I ’ m the manager here . What can I do for you , Madam ?"
"Yes , I ’ m the manager here . What can I do for you , Madam ?",Did you have the room checked before we move in ?
Did you have the room checked before we move in ?,Which room are you in ?
Which room are you in ?,"1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower ."
"1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower .",I ’ m awfully sorry to hear that . I ’ ll turn to it right away .
"Congratulations , Vivian . You won the grand prize , again .",t it just great ! I just knew I
t it just great ! I just knew I,You did ? How ? Did you wear red underwear again this year ?
You did ? How ? Did you wear red underwear again this year ?,Not only that !
Not only that !,"s your secret ? ! 
  OK , OK . I"
"s your secret ? ! 
  OK , OK . I",What ? ! You did that ? ? ! ! !
We are going to the concert this evening . Will you join us .,m very sorry I can
m very sorry I can,Why not ?
"v been work here for nearly a month , how do you feel about the job ?","I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you"
"I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you",s really wonderful !
The music is on.May I have the pleasure to dance with you ?,m engaged for the foxtrot.Will the next Walls be all right ?
"Excuse me , is this seat taken ?","No , please feel free ."
"No , please feel free .",Thanks a lot .
Thanks a lot .,Do you work in Shanghai ?
Do you work in Shanghai ?,Yes I do . How about you ?
Yes I do . How about you ?,m a tourist . This place is amazing ! It
m a tourist . This place is amazing ! It,"s so much to see here . 
  You can say that again ! It"
"s so much to see here . 
  You can say that again ! It",s see ... I
s see ... I,s for sure !
"Look at this headline , Soo Mi .",Wow ! So many people in the United States get divorced !
Wow ! So many people in the United States get divorced !,Is it the same in Korea ?
Is it the same in Korea ?,"t think so . In Korea some marriages break up , but most couples stay together ."
Boy ! What a beauty ! I fall in love with her at the first sight .,The beauty under the tree ?
The beauty under the tree ?,Of course.No girl is more charming .
Of course.No girl is more charming .,She is a young man !
Excuse me.Where do I register ?,"Oh , over there in Pacific Pavilion ."
"Oh , over there in Pacific Pavilion .","Is that the large , white building ?"
"Is that the large , white building ?",s it .
How was your education going on in Australia ?,m going to graduate this summer .
Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad .,"Well , I think personal development is much more important than simply having a superior living environment ."
"Do you have any particular hobbies , Tom ?","Oh , yes . I love playing badminton , table tennis and computer games . And playing the games has become my favorite ."
"Oh , yes . I love playing badminton , table tennis and computer games . And playing the games has become my favorite .","t care about their own health at all . How about you ? 
  I"
"t care about their own health at all . How about you ? 
  I","s mindless to sit in front of a machine all the time , but I think it"
"s mindless to sit in front of a machine all the time , but I think it","t play online games full of violence , will you ?"
What ’ s the plot of your new movie ?,"It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th"
"It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th",Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director .
Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director .,I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no
I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no,Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ?
Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ?,Not at all . The feedback from audience has been great . I care about what they think more than what the critics think .
Not at all . The feedback from audience has been great . I care about what they think more than what the critics think .,Did you do you own stunts in the movie ?
Did you do you own stunts in the movie ?,"I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future ."
"I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future .",Thank you very much for doing this interview .
Thank you very much for doing this interview .,My pleasure . Have you seen the movie yet ?
My pleasure . Have you seen the movie yet ?,"Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star ."
s that old lady trimming the trees ?   She,s looks very healthy.How old is she ?
Mom . My legs are killing me .,Hold on . We will be successful right away .
"Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing !",I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now !
I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now !,"Well , you can keep the vegetables , I ’ ll take the meat . The stir fry my wife made was really hearty , with chunks of beef and slivers of bell peppers and onion ..."
"Well , you can keep the vegetables , I ’ ll take the meat . The stir fry my wife made was really hearty , with chunks of beef and slivers of bell peppers and onion ...",What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap !
What did you say ?,s a lovely day . Why don
s a lovely day . Why don,"Well , I feel a little tired ."
"Well , I feel a little tired .","Come on ! A little labor , much health ."
"Come on ! A little labor , much health .",Then can you wait a few minutes ? I want to finish writing this letter .
Then can you wait a few minutes ? I want to finish writing this letter .,"t take too long . It would be a shame not to take advantage of such lovely weather . 
  I won"
"t take too long . It would be a shame not to take advantage of such lovely weather . 
  I won",t you go ahead and I
t you go ahead and I,I Believe I will . Look for me near the lake .
Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ?,"Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job !"
"Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job !",I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ...
I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ...,"Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ?"
"Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ?","Just hold me ... I ’ ll always be here for you , no matter what . And together , we can tackle whatever life throws at us . I believe in us , steven ."
"Just hold me ... I ’ ll always be here for you , no matter what . And together , we can tackle whatever life throws at us . I believe in us , steven .",I ’ m so happy to hear that ! I knew we belong together . I love you so much .
"Zina , can I talk to you about something personal ?",t take too long .
"Mary , how was your date with john ?",s ok . It seems we have a lot in common .
"oh , it","t say , but he said he would call me ."
"t say , but he said he would call me .","oh , steve . Stop it ! I am a bit nervous ! What if he doesn"
"oh , steve . Stop it ! I am a bit nervous ! What if he doesn",re a total catch . I bet he will call you . Don
re a total catch . I bet he will call you . Don,"re always so encouraging . 
  that"
"Hi , Francis , how was your business trip ?",It was a nightmare .
It was a nightmare .,What ’ s up ?
What ’ s up ?,"Actually , the business trip itself was very successful . We arrived on time , we had nice conversations and we settled some important issues for the next year ."
"Actually , the business trip itself was very successful . We arrived on time , we had nice conversations and we settled some important issues for the next year .","Sounds quite fruitful , why do you call it still a nightmare then ?"
"Sounds quite fruitful , why do you call it still a nightmare then ?","Well , the air line lost my luggage on the return flight and then I lost my carry on bag when I was tackling with the officers in charge . I left the airport three hours later than I expected and then I was caught in a traffic jam . When I finally got home , I was totally exhausted . But I found the elevator was out of service due to a blackout ."
"Well , the air line lost my luggage on the return flight and then I lost my carry on bag when I was tackling with the officers in charge . I left the airport three hours later than I expected and then I was caught in a traffic jam . When I finally got home , I was totally exhausted . But I found the elevator was out of service due to a blackout .",This is really a sad story . Did they trace back your luggage ?
This is really a sad story . Did they trace back your luggage ?,I am still waiting for their call .
I am still waiting for their call .,"Take it easy , all sufferings have their reward ."
So the company decided to cancel your trip to Hong Kong ?,"d better not risk it . 
  Maybe it"
"d better not risk it . 
  Maybe it","t have to go to Hong Kong , you can take a break and take things easy for a while ."
Which pair of jeans do you like best ?,I really like the straight legs .
I really like the straight legs .,"t very fashionable . What about these ? 
  I don"
"t very fashionable . What about these ? 
  I don",s the style ! You just wear boxers .
"s the matter ? 
  Oh ! ! My car isn",m waiting for a tow-truck .
"No , we live in the suburbs . What about you ?","I live downtown , with my parents ."
"I live downtown , with my parents .",Do you have a car ?
Do you have a car ?,t need a car . I walk to work .   You
"Happy anniversary , sweetheart !",Yes . to our first anniversary and many more to come . Cheers !
Yes . to our first anniversary and many more to come . Cheers !,"ll drink to that . Thanks for making this a night worth remembering . 
  Well , it"
"ll drink to that . Thanks for making this a night worth remembering . 
  Well , it","s good to know . Oh , listen ! The band"
"s good to know . Oh , listen ! The band",I requested it . What do you say ? Do you have your dancing shoes on ?
I requested it . What do you say ? Do you have your dancing shoes on ?,Always .
t you have dinner with me tonight ?   I,s say about 6:00 ?   That
Cigarette ?,"Oh , uh ... Thanks . Henry , do you have a light ?"
"Oh , uh ... Thanks . Henry , do you have a light ?","Sorry , here ."
"Sorry , here .",Thanks . Lovely day . Pity I ’ m on duty .
Thanks . Lovely day . Pity I ’ m on duty .,I ’ ll stand in with you if you like . I ’ Ve got nothing else to do .
I ’ ll stand in with you if you like . I ’ Ve got nothing else to do .,"Oh , no . I couldn ’ t possibly ."
"Hi Rose , what are you busy with right now ?",m working on these documents . The manager wants them for half an hour .
"Sure , that would be great . I",ll be expecting you .   I
How do you shoot pool ?,"You have 16 balls on the table , 7 solid colored , 7 striped colored , a black 8 ball , and the white ball ."
You hit the white ball with your cue . The white ball hits the colored balls . And you want to get the colored balls into the pockets .,How do you know whether you should hit the solid or the striped one ?
How do you know whether you should hit the solid or the striped one ?,"At the beginning , it does not matter , but once someone gets one ball in , it is set ."
"At the beginning , it does not matter , but once someone gets one ball in , it is set .",Can I get the black ball in ?
Can I get the black ball in ?,The black ball has to be the final ball in the pockets .
How about going to hear a country-and-western singer tonight ?,d enjoy that .   I
The mosquitos are biting me !,"Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks ."
"Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks .",Do you have any bug spray ?
Do you have any bug spray ?,"No , I forgot to buy some ."
"No , I forgot to buy some .",Then we ’ ll have to put up with it .
Then we ’ ll have to put up with it .,"We can cover ourselves with beer ! That way if they bite us , they ’ ll get drunk and fall asleep ."
"We can cover ourselves with beer ! That way if they bite us , they ’ ll get drunk and fall asleep .","That ’ s without a doubt , the best idea you ’ Ve had ! Let ’ s do it !"
"That ’ s without a doubt , the best idea you ’ Ve had ! Let ’ s do it !",Run ! They are thirsty for more !
"t you just sit and watch ? 
  I",t stand the bald man talking so loudly in the program .
"t understand the program , that","All right , I will explain it to you later on . Now scram ."
"All right , I will explain it to you later on . Now scram .","s what you want . 
  That"
"Okay , can I ask you something direct ?",s not like you
s not like you,Fair enough . Give it to me straight . Did she bully you into this ?
Fair enough . Give it to me straight . Did she bully you into this ?,"No , seriously . . . I really want this ."
"No , seriously . . . I really want this .","ve done a complete 180 . 
  I know . But things have changed . I guess I"
"ve done a complete 180 . 
  I know . But things have changed . I guess I",I guess so .
My daughter plans to quit her present job and wants to find another . She says she wants to get a better job with higher pay .,It seems quite normal to me . It is pretty much what I want to do .
It seems quite normal to me . It is pretty much what I want to do .,"t anyone want to get married any more ? 
  It is different now . The world is becoming colorful . Some of my friends don"
"t anyone want to get married any more ? 
  It is different now . The world is becoming colorful . Some of my friends don",What time is the right moment ?
What time is the right moment ?,Let the universe find us instead of forcing love . We prefer natural love . The most important thing is to be happy . Love will find us later . That is what we say .
"Please excuse me , but I really have to be going .","Yes , of course.It was nice to see you ."
"Yes , of course.It was nice to see you .","It was nice to see you , too.And please give my regards to Mrs.Robbins ."
What do you think of the coming match ?,Winning is a piece of cake to me .
Winning is a piece of cake to me .,You are bragging again .
What would you reckon the taxing increases ?,"Well , the state will benefit a lot , I suppose ."
"Well , the state will benefit a lot , I suppose .",But what do most people think about it ?
But what do most people think about it ?,"Ah , it ’ s hard to say ."
are you still coming to my place for dinner tomorrow night ?,of course . Is the dinner still on ?
of course . Is the dinner still on ?,"yes , I was just wondering how you and your roommate were planning on coming to my place ."
"yes , I was just wondering how you and your roommate were planning on coming to my place .",we were planning on walking both ways since the weather is still nice .
we were planning on walking both ways since the weather is still nice .,"s what I thought you would do . Listen , I live in a bit of a rough neighborhood . It"
"s what I thought you would do . Listen , I live in a bit of a rough neighborhood . It","t want to be walking around after dark . 
  it can"
"t want to be walking around after dark . 
  it can","t , but there is actually a lot of crime and prostitution around here . 
  really ? I never would have guessed . The criminals must only come out in the evenings , because I"
"t , but there is actually a lot of crime and prostitution around here . 
  really ? I never would have guessed . The criminals must only come out in the evenings , because I","ve been at your house in the daytime . 
  do me a favor , and take a taxi . It"
"ve been at your house in the daytime . 
  do me a favor , and take a taxi . It","ok , we will . How do you get around in the evenings ?"
"ok , we will . How do you get around in the evenings ?","when I first moved in , I walked everywhere . But within a week , I had my purse stolen — just a block away from the police station ! Now , I always take public transportation ."
"when I first moved in , I walked everywhere . But within a week , I had my purse stolen — just a block away from the police station ! Now , I always take public transportation .",has anything else happened to you ?
has anything else happened to you ?,"nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close ."
Jack wonders whether Linda likes him or not .,t he ask her ?
"t understand why some parents keep beefing and complaining about their daughters not being able to follow suit . 
  Yeah . Li Na",s daughter got married with a Canadian . She
s daughter got married with a Canadian . She,"If I were Li Na , I would ask her if she had done that ."
What do you need ?,I need to use the Internet .
I need to use the Internet .,"You have your library card , right ?"
"You have your library card , right ?","Yes , I do ."
"Yes , I do .",There is a wait right now to use the computers .
There is a wait right now to use the computers .,That ’ s fine .
That ’ s fine .,Would you please write your name on this list ?
Would you please write your name on this list ?,Then what ?
Then what ?,I will call you when a computer is free .
I will call you when a computer is free .,How do I log on to the computer ?
How do I log on to the computer ?,Use the number on the back of your library card .
Use the number on the back of your library card .,Thanks . I ’ ll be sitting over there .
What a nice tie you are wearing !,Thank you.But does it really look all right ?
Thank you.But does it really look all right ?,Certainly.It matches your suit perfectly .
Certainly.It matches your suit perfectly .,Then does it go well with my sweater ?
Then does it go well with my sweater ?,Yes.You look very smart today .
Yes.You look very smart today .,Thank you very much .
What do you make of the case ?,"If you ask me , I don ’ t think it ’ s guilty ."
"If you ask me , I don ’ t think it ’ s guilty .",What do you mean by saying so ?
What do you mean by saying so ?,I mean it ’ s not his fault .
I mean it ’ s not his fault .,"Oh , yeah ?"
"Oh , yeah ?",Yes . Don ’ t you think he should be pitied rather than accused ?
"s Day , Mom ! 
  Thanks ! These are beautiful . You shouldn",Of course I should have ! You certainly deserve them ! You put up with all of us .
Of course I should have ! You certainly deserve them ! You put up with all of us .,"I forgot what I put up with . In that case , I do deserve these flowers ."
I have a real problem when I meet people .,What is it ? Maybe I can help .
What is it ? Maybe I can help .,I never know when to shake hands and when not to . Can you tell me something about it ?
I never know when to shake hands and when not to . Can you tell me something about it ?,Do you come from a country where they shake hands ?
Do you come from a country where they shake hands ?,"Oh yes . Men , women , and children shake hands all the time ."
"Oh yes . Men , women , and children shake hands all the time .","It ’ s very simple . Men shake hands , women and children don ’ t ."
"It ’ s very simple . Men shake hands , women and children don ’ t .","But some women do shake hands . And now a lot of children have such good manners , they shake hands too ."
"But some women do shake hands . And now a lot of children have such good manners , they shake hands too .","Well , a good rule to follow is , for men you hold out your hand , for women and children , you wait and see what they do ."
"Well , a good rule to follow is , for men you hold out your hand , for women and children , you wait and see what they do .",That sounds easy enough .
That sounds easy enough .,"Sure . Once you get the hang of it , it ’ s a piece of cake ! It ’ s nothing to worry about ."
"Sam , I am so sorry . It was your birthday yesterday and I completely forgot about it .",t worry about it . I keep forgetting everyone
t worry about it . I keep forgetting everyone,"Margaret really told me off when she found out that I had forgotten all about it . We did try to phone you , but you and Jane must have gone out ."
"Margaret really told me off when she found out that I had forgotten all about it . We did try to phone you , but you and Jane must have gone out .","Yes , Jane invited me for dinner to this new restaurant which opened near us ."
"Yes , Jane invited me for dinner to this new restaurant which opened near us .","Oh , yes , I know the one . How was the food ?"
"Oh , yes , I know the one . How was the food ?","The food was excellent , but Jane ordered a birthday cake , which they forgot about . So as you can see , you were not the only one ."
"The food was excellent , but Jane ordered a birthday cake , which they forgot about . So as you can see , you were not the only one .","Oh , no ."
"Oh , no .","Yes , Jane was quite upset about it . The manager came to apologize and we did get free dessert , but still ..."
"Yes , Jane was quite upset about it . The manager came to apologize and we did get free dessert , but still ...",I would think this was the least they could do .
I would think this was the least they could do .,In the end it was a nice evening and I got an iPad as my birthday present which I wanted for a while .
In the end it was a nice evening and I got an iPad as my birthday present which I wanted for a while .,Great . I have also been thinking of getting one . Do you think you could ask Jane to have a quiet word with Margaret ? My birthday is not that far away .
Great . I have also been thinking of getting one . Do you think you could ask Jane to have a quiet word with Margaret ? My birthday is not that far away .,"I can try , but knowing Margaret she will see through that immediately ."
s the restaurant we,s go in to wait for them .
When do you usually go to the movies ?,I usually go in my free time on the weekends . How about you ?
I usually go in my free time on the weekends . How about you ?,The movie theater is always so crowded on the weekends . I like to go to the movies during the week .
Are you telling us a lie again ?,I will be hanged if I lying .
I will be hanged if I lying .,All right . But what was the trouble ?
All right . But what was the trouble ?,My car run out of petrol .
t believe Mr . Fro didn,He had a lot of nerve telling us our ads sucked .
He had a lot of nerve telling us our ads sucked .,"Time to order . Balista , today I want a skinny triple latte ."
"Time to order . Balista , today I want a skinny triple latte .",When did you start worrying about your weight ?
When did you start worrying about your weight ?,m not . I just don
m not . I just don,m fat ?
"Come on , Tara . Let ’ s go up to the window and buy two tickets . The movie is starting in a few minutes .",We can ’ t break into the line . Don ’ t be so impatient . We ’ ll be at the front of the line soon .
We can ’ t break into the line . Don ’ t be so impatient . We ’ ll be at the front of the line soon .,"Two tickets , please . How much are they ?"
"Two tickets , please . How much are they ?","Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist ."
"Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist .",I ’ m looking forward to this film . I read a good review of it in this morning ’ s newspaper .
I ’ m looking forward to this film . I read a good review of it in this morning ’ s newspaper .,"Me , too . It will be great to see something light and funny for a change . I ’ m tired of heavy drama ."
"Me , too . It will be great to see something light and funny for a change . I ’ m tired of heavy drama .",Are these seats okay ?
Are these seats okay ?,"They ’ re fine , but I can ’ t watch a movie without popcorn ."
Do you often buy magazines ?,I buy a computer magazine every month . It keeps me up-to date with all the latest developments .
I buy a computer magazine every month . It keeps me up-to date with all the latest developments .,Why don ’ t you find the information on the internet instead ?
Why don ’ t you find the information on the internet instead ?,"Sometimes it takes too long to find the exact information you are looking for . Besides , I like to read a magazine in a coffee bar sometimes ."
"Sometimes it takes too long to find the exact information you are looking for . Besides , I like to read a magazine in a coffee bar sometimes .",Do you have an online edition of that magazine ?
Do you have an online edition of that magazine ?,"Yes , they do . But you can only access all the articles if you have a subscription ."
"Yes , they do . But you can only access all the articles if you have a subscription .",Do you have a subscription ?
Do you have a subscription ?,"Yes , I do . The magazine arrives by post at the beginning of each month . Do you every buy magazines ?"
"Yes , I do . The magazine arrives by post at the beginning of each month . Do you every buy magazines ?",I only buy them if they look particularly interesting . I don ’ t buy any regularly .
"s perfect day for a barbecue . 
  It sure is . I",t rain . My name
t rain . My name,"m Barbara Johnson . Nice to meet you . 
  I"
"m Barbara Johnson . Nice to meet you . 
  I",s your name again ?
Really ? Where ?,At Harvard . What about you ?
At Harvard . What about you ?,m an engineer at IBM .
t believe I,What are you so excited about ?
What are you so excited about ?,"m standing in front of an exquisite work of art ! 
  What"
"m standing in front of an exquisite work of art ! 
  What","s just a picture of some woman . 
  I"
"s just a picture of some woman . 
  I",d get to see it in person .
"hey , Maris , are you a part-timer ?",part-timer ? Is that a new buzzword ?
part-timer ? Is that a new buzzword ?,"oh , it ’ s pretty popular among my classmates these days . So are you ?"
"oh , it ’ s pretty popular among my classmates these days . So are you ?","sure , I have a part-time job as a bartender ."
"sure , I have a part-time job as a bartender .",cool ! It must be amazing to work at a bar !
cool ! It must be amazing to work at a bar !,"yeah , but I ’ m not there for fun . I have to remain professional and if I get distracted , the manager would be pretty upset ."
"yeah , but I ’ m not there for fun . I have to remain professional and if I get distracted , the manager would be pretty upset .",that ’ s true . I ’ m wondering did you learn anything from the job ?
that ’ s true . I ’ m wondering did you learn anything from the job ?,of course . There ’ s always much to learn . I got to know more about the real world .
of course . There ’ s always much to learn . I got to know more about the real world .,"you mean you got working experience , right ?"
"you mean you got working experience , right ?",not just working experience . I would say the biggest lesson I learned is how to deal with people from all walks of life .
not just working experience . I would say the biggest lesson I learned is how to deal with people from all walks of life .,it must be very demanding .
it must be very demanding .,"sometimes it is . But after working for a few weeks , it ’ s easy to figure out ."
"sometimes it is . But after working for a few weeks , it ’ s easy to figure out .",really ? It sounds interesting .
really ? It sounds interesting .,maybe you can come to the bar one day and I ’ ll show you around .
maybe you can come to the bar one day and I ’ ll show you around .,great . I ’ m looking forward to it .
Have you seen that house ?,"Yes , it looks interesting ."
"Yes , it looks interesting .",re right . I love it very much .
She can,She must be deaf .
She must be deaf .,It must be a haunted house . Are you frightened ?
